Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.3598071,-0.0727812,2.5363467,1.3781553,-0.3383208,0.4623878,0.2395986,0.0986980,0.3637870,0.0907942,-0.5515995,-0.6178009,-0.9913899,-0.3111694,1.4681770,-0.4704005,0.2079708,0.0257906,0.4039936,0.2514121,-0.0183068,0.2778376,-0.1104738,0.0669280,0.1285394,-0.1891531,0.1335584,-0.0210530,149.62,0
0,1.1918571,0.2661507,0.1664801,0.4481541,0.0600176,-0.0823608,-0.0788030,0.0851017,-0.2554250,-0.1669839,1.6127267,1.0650474,0.4890950,-0.1437723,0.6355581,0.4639170,-0.1149370,-0.1833613,-0.1457706,-0.0690832,-0.2257752,-0.6386720,0.1012880,-0.3398207,0.1671704,0.1257413,-0.0089831,0.0147242,2.69,0
1,-1.3598071,-0.0727812,2.5363467,1.3781553,-0.3383208,0.4623878,0.2395986,0.0986980,0.3637870,0.0907942,-0.5515995,-0.6178009,-0.9913899,-0.3111694,1.4681770,-0.4704005,0.2079708,0.0257906,0.4039936,0.2514121,-0.0183068,0.2778376,-0.1104738,0.0669280,0.1285394,-0.1891531,0.1335584,-0.0210530,378.66,0
1,-0.9662717,-0.1852260,1.7929933,-0.8632913,-0.0103089,1.2474020,0.2376942,0.3774100,-1.3870241,-1.5272395,0.9555939,0.8941020,-0.1905202,0.4079936,-0.2819204,0.0783289,-0.4985019,-0.9982350,0.3408400,-0.4612520,-0.2035046,-0.2481236,-0.1381975,0.0595087,0.5710509,-0.1277863,-0.2285668,-0.1879536,123.50,0
2,-1.1582331,0.8777394,1.5487023,0.4030340,-0.4071728,0.0959439,0.5927066,-0.2705067,0.8177490,0.7533020,-0.8228429,0.5382199,1.3458516,-1.1196698,0.1758015,-0.4514935,-0.2373028,-0.0381948,-0.8031166,0.4085426,-0.0096137,-0.0635718,-0.0699823,-0.1662441,0.0494199,0.2318100,-0.1355498,-0.0661680,69.99,0
2,-0.4259659,0.9605230,1.1411093,-0.1680005,0.4209430,-0.0297377,0.4767724,0.1041791,-0.0752038,0.0566892,-0.2793279,0.0000000,-0.5678234,0.0000000,0.4285802,-0.3042042,0.7820718,0.0000000,0.0000000,-0.1126148,-0.1226783,-0.0597628,-0.0897546,0.0000000,0.5031423,-0.3046266,0.0000000,0.0000000,3.67,0
3,1.2299440,-1.0971820,0.2516588,1.2313019,-0.2049084,0.4616918,-0.3073268,0.0396988,0.3528668,0.0635651,-0.1245900,-0.5749413,0.8108988,-0.6867451,-0.0450905,0.4303427,-0.0535483,-0.1048673,-0.1419099,-0.0635448,-0.0672295,0.1256571,-0.0893720,-0.0624888,0.0000000,0.2082714,-0.0504764,-0.0159636,4.99,0
3,-0.6669935,-0.1382626,1.0306617,0.3353900,-0.2184186,-0.2021975,-0.1781706,-0.1361785,-0.2500140,-0.0436481,-0.0236541,0.1413254,-0.0000000,-0.1316781,0.1127685,0.0736022,-0.0654527,-0.0629399,0.0000000,0.0000000,-0.0293752,-0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,40.80,0
4,-1.1582331,0.8777394,1.5487023,0.4030340,-0.4071728,0.0959439,0.5927066,-0.2705067,0.8177490,0.7533020,-0.8228429,0.5382199,1.3458516,-1.1196698,0.1758015,-0.4514935,-0.2373028,-0.0381948,-0.8031166,0.4085426,-0.0096137,-0.0635718,-0.0699823,-0.1662441,0.0494199,0.2318100,-0.1355498,-0.0661680,891.00,1
5,-2.3122265,1.9519674,-1.6097064,3.9979056,-0.5220188,-1.4264575,-2.1878850,1.7699699,-0.0117063,-0.5373390,-0.8086614,-0.3026673,-0.1041793,-0.1370266,-0.7026313,-0.0602729,-0.5822427,-0.1117516,0.1649800,-0.2010022,-0.1628800,-0.3027800,-0.0000000,-0.2002604,-0.0000000,-0.0000000,-0.0000000,-0.0000000,9.99,1
